Date, Open, High, Low, Close, Volume
12/28/2023,210.8,211.2,209.9,210.3,337634
12/27/2023,210,211.4,210,210.8,340581
12/26/2023,209.8,210.1,209.8,210,300826
12/21/2023,209.8,210.2,209.8,209.8,280556
12/20/2023,209.8,209.9,209.8,209.8,688965
12/19/2023,209.8,210,209.8,209.8,340796
12/18/2023,209.8,209.9,209.8,209.8,466145
12/14/2023,209.8,209.8,209.8,209.8,90082
12/13/2023,209.8,209.8,209.8,209.8,68118
12/12/2023,209.8,209.8,209.8,209.8,66142
12/11/2023,209.8,209.8,209.8,209.8,61421
12/7/2023,209.8,209.8,209.8,209.8,222818
12/6/2023,209.8,209.8,209.8,209.8,125335
12/5/2023,209.8,209.8,209.8,209.8,122114
12/4/2023,209.8,209.8,209.8,209.8,76702
11/30/2023,209.8,209.8,209.8,209.8,1916
11/29/2023,209.8,209.8,209.8,209.8,19595
11/28/2023,209.8,209.8,209.8,209.8,2386
11/27/2023,209.8,209.8,209.8,209.8,4466
11/23/2023,209.8,209.8,209.8,209.8,3177
11/22/2023,209.8,209.8,209.8,209.8,3982
11/21/2023,209.8,209.8,209.8,209.8,10078
11/20/2023,209.8,209.8,209.8,209.8,5993
11/15/2023,212.1,212.3,210.8,211.9,376525
11/14/2023,209.9,211,209.9,210.8,182442
11/13/2023,210.2,210.3,209.8,209.9,504774
11/9/2023,210.3,210.5,209.9,210,389164
11/8/2023,210.5,210.5,210.2,210.3,208272
11/7/2023,210.9,211.1,210.3,210.3,425889
11/6/2023,211,211.1,210.8,210.9,201331
11/2/2023,211.2,211.6,211.1,211.2,130241
11/1/2023,210.9,211.4,210.9,211.1,148880
10/31/2023,211.1,211.5,210.9,211.1,233090
10/30/2023,211.1,211.5,210.9,211.2,231088
10/26/2023,210.3,211.5,210.3,210.9,231866
10/25/2023,211.2,211.2,209.8,210.3,1763952
10/23/2023,211,213,209.8,210.3,269914
10/19/2023,210.3,212.3,210.3,212,498248
10/18/2023,210,210.6,209.9,210.3,602245
10/17/2023,210,210.1,209.9,210,74413
10/16/2023,210,210.1,209.9,210,702884
10/12/2023,210,210.2,209.8,210,122839
10/11/2023,209.8,210.1,209.8,209.8,69486
10/10/2023,209.8,210.1,209.8,210,301655
10/9/2023,209.8,210,209.8,209.9,622728
10/5/2023,209.8,210.1,209.8,210,204858
10/4/2023,209.8,210,209.8,209.8,149148
10/3/2023,209.8,209.9,209.8,209.8,134045
10/2/2023,209.8,209.8,209.8,209.8,61510
9/27/2023,209.8,210.1,209.8,209.8,95354
9/26/2023,209.9,210,209.8,209.8,135986
9/25/2023,209.9,210,209.8,209.9,291844
9/21/2023,210,210.2,209.8,210,820238
9/20/2023,210.7,210.7,209.9,210,111395
9/19/2023,209.8,210.2,209.8,210,154093
9/18/2023,210.2,210.5,209.9,210.1,120932
9/14/2023,210.3,210.3,209.8,209.8,471157
